"name","position","category","status","current_team","league","acquisition_type","acquisition_detail","coverage_priority","next_verification"
"Nathan Aspinall","F","Current prospect","Future Blue","Flint Firebirds","OHL","Draft","NYR 2024 Rd 5 No. 159","Daily in season","Verify 2026-27 assignment"
"Sean Barnhill","D","Current prospect","Future Blue","Michigan State","NCAA","Draft","NYR 2025 Rd 3 No. 70","Daily in season","Verify college schedule"
"Jacob Battaglia","F","Current prospect","Future Blue","Flint Firebirds","OHL","Trade","Acquired from Calgary for Brennan Othmann on 2026-03-06; originally CGY 2024 Rd 2 No. 62","Daily in season","Verify 2026-27 club"
"Raoul Boilard","C","Current prospect","Future Blue","Lake Superior State","NCAA","Draft","NYR 2024 Rd 4 No. 119","Daily in season","Verify NCAA schedule"
"EJ Emery","D","Current prospect","Future Blue","Univ. of North Dakota","NCAA","Draft","NYR 2024 Rd 1 No. 30","Daily in season","Verify NCAA schedule"
"Mikkel Eriksen","C","Current prospect","Future Blue","Farjestad BK U20","Sweden junior","Draft","NYR 2025 Rd 4 No. 111","Daily in season","Verify league/team feed"
"Felix Farhammar","D","Current prospect","Future Blue","Orebro HK","SHL","Draft","NYR 2025 Rd 7 No. 203","Daily in season","Verify SHL/J20 assignment"
"Rico Gredig","F","Current prospect","Future Blue","EV Zug","NL","Draft","NYR 2024 Rd 6 No. 191","Daily in season","Verify Swiss source"
"Liam Greentree","F","Current prospect","Future Blue","Windsor Spitfires","OHL","Trade","Acquired from Los Angeles for Artemi Panarin on 2026-02-04; originally LAK 2024 Rd 1 No. 26","Daily in season","Verify 2026-27 assignment"
"Artem Gonchar","D","Current prospect","Future Blue","Sudbury Wolves","OHL","Draft","NYR 2025 Rd 3 No. 89","Daily in season","Verify OHL source"
"Ty Henricks","F","Current prospect","Future Blue","Western Michigan","NCAA","Draft","NYR 2023 Rd 6 No. 183","Daily in season","Verify NCAA schedule"
"Samuel Jung","F","Current prospect","Future Blue","Karpat","Liiga","Draft","NYR 2025 Rd 6 No. 166","Daily in season","Verify Liiga source"
"Rasmus Larsson","D","Current prospect","Future Blue","Robert Morris Univ.","NCAA","Draft","NYR 2023 Rd 5 No. 152","Daily in season","Verify NCAA schedule"
"Zeb Lindgren","D","Current prospect","Future Blue","Skelleftea AIK U20","Sweden junior","Draft","NYR 2025 Rd 5 No. 139","Daily in season","Verify SHL/J20 assignment"
"Evan Passmore","D","Current prospect","Future Blue","Barrie Colts","OHL","Draft","NYR 2025 Rd 6 No. 171","Daily in season","Resolve position conflict"
"Malcolm Spence","F","Current prospect","Future Blue","Univ. of Michigan","NCAA","Draft","NYR 2025 Rd 2 No. 43","Daily in season","Verify NCAA schedule"
